tileX,tileY,firstCoveredAt
306284,152355,2026-04-25T07:49:34.205829Z
306284,152357,2026-04-25T07:49:34.207903Z
306284,152358,2026-04-25T07:49:34.210419Z
306285,152355,2026-04-25T07:49:34.217186Z
306285,152356,2026-04-25T07:49:34.220507Z
306285,152357,2026-04-25T07:49:34.224157Z
306286,152356,2026-04-25T07:49:34.227168Z
306252,152314,2026-04-26T10:19:44.181443Z
306252,152312,2026-04-26T10:19:44.181443Z
306251,152317,2026-04-26T10:19:44.181443Z
306252,152315,2026-04-26T10:19:44.181443Z
306251,152313,2026-04-26T10:19:44.181443Z
306251,152314,2026-04-26T10:19:44.181443Z
306251,152312,2026-04-26T10:19:44.181443Z
306251,152316,2026-04-26T10:19:44.181443Z
306252,152313,2026-04-26T10:19:44.181443Z
306251,152311,2026-04-26T10:19:44.181443Z
306251,152315,2026-04-26T10:19:44.181443Z
306252,152311,2026-04-26T10:19:44.181443Z
306252,152358,2026-04-26T10:19:45.025697Z
306253,152357,2026-04-26T10:19:45.025697Z
306253,152355,2026-04-26T10:19:45.025697Z
306253,152356,2026-04-26T10:19:45.025697Z
306252,152359,2026-04-26T10:19:45.025697Z
306253,152358,2026-04-26T10:19:45.025697Z
306250,152341,2026-04-26T10:19:45.6872Z
306250,152339,2026-04-26T10:19:45.6872Z
306249,152340,2026-04-26T10:19:45.6872Z
306248,152339,2026-04-26T10:19:45.6872Z
306248,152338,2026-04-26T10:19:45.6872Z
306249,152338,2026-04-26T10:19:45.6872Z
306250,152338,2026-04-26T10:19:45.6872Z
306250,152340,2026-04-26T10:19:45.6872Z
306249,152337,2026-04-26T10:19:45.6872Z
306249,152339,2026-04-26T10:19:45.6872Z
306317,152336,2026-04-26T10:19:46.26083Z
306316,152335,2026-04-26T10:19:46.26083Z
306317,152333,2026-04-26T10:19:46.26083Z
306316,152337,2026-04-26T10:19:46.26083Z
306317,152337,2026-04-26T10:19:46.26083Z
306316,152334,2026-04-26T10:19:46.26083Z
306316,152333,2026-04-26T10:19:46.26083Z
306316,152338,2026-04-26T10:19:46.26083Z
306317,152338,2026-04-26T10:19:46.26083Z
306317,152334,2026-04-26T10:19:46.26083Z
306318,152333,2026-04-26T10:19:46.26083Z
306251,152375,2026-04-26T10:19:46.834441Z
306250,152375,2026-04-26T10:19:46.834441Z
306251,152374,2026-04-26T10:19:46.834441Z
306252,152373,2026-04-26T10:19:46.834441Z
306253,152372,2026-04-26T10:19:46.834441Z
306252,152372,2026-04-26T10:19:46.834441Z
306251,152373,2026-04-26T10:19:46.834441Z
306252,152374,2026-04-26T10:19:46.834441Z
306253,152373,2026-04-26T10:19:46.834441Z
